year,average_monthly_nominal_wage_amd,annual_average_inflation_percent,nominal_wage_growth_percent,wage_index_2019_100,cpi_index_2019_100,real_wage_index_2019_100
2019,182673,1.4,,100.0,100.0,100.0
2020,189716,1.2,3.855523257405302,103.85552325740531,101.2,102.6240348393333
2021,204048,7.2,7.554449809188468,111.70123663595606,108.4864,102.96335451812952
2022,235576,8.6,15.451266368697558,128.9604922457068,117.81623040000001,109.4590208903058
2023,269994,2.0,14.61014704384147,147.80180979126635,120.17255500800002,122.99131842659668
2024,287172,0.3,6.362363608080179,157.20549834950978,120.53307267302401,130.42519771811416
